candidate,county,party,percentage,popular_vote,state,summary_level
 J. Gilmore,Buena Vista County,REPUBLICAN,0.0%,0,iowa,county
 Other,Buena Vista County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Butler County,DEMOCRAT,58.3%,350,iowa,county
 H. Clinton,Butler County,DEMOCRAT,41.7%,250,iowa,county
 M. O'Malley,Butler County,DEMOCRAT,0.0%,0,iowa,county
 Other,Butler County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Butler County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Butler County,REPUBLICAN,36.5%,332,iowa,county
 D. Trump,Butler County,REPUBLICAN,24.2%,220,iowa,county
 M. Rubio,Butler County,REPUBLICAN,15.9%,145,iowa,county
 B. Carson,Butler County,REPUBLICAN,11.9%,108,iowa,county
 R. Paul,Butler County,REPUBLICAN,3.5%,32,iowa,county
 J. Bush,Butler County,REPUBLICAN,2.6%,24,iowa,county
 M. Huckabee,Butler County,REPUBLICAN,2.3%,21,iowa,county
 C. Fiorina,Butler County,REPUBLICAN,2.0%,18,iowa,county
 C. Christie,Butler County,REPUBLICAN,0.7%,6,iowa,county
 J. Kasich,Butler County,REPUBLICAN,0.3%,3,iowa,county
 R. Santorum,Butler County,REPUBLICAN,0.1%,1,iowa,county
 J. Gilmore,Butler County,REPUBLICAN,0.0%,0,iowa,county
 Other,Butler County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Calhoun County,DEMOCRAT,50.0%,200,iowa,county
 B. Sanders,Calhoun County,DEMOCRAT,50.0%,200,iowa,county
 M. O'Malley,Calhoun County,DEMOCRAT,0.0%,0,iowa,county
 Other,Calhoun County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Calhoun County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Calhoun County,REPUBLICAN,28.5%,159,iowa,county
 D. Trump,Calhoun County,REPUBLICAN,24.4%,136,iowa,county
 M. Rubio,Calhoun County,REPUBLICAN,21.7%,121,iowa,county
 B. Carson,Calhoun County,REPUBLICAN,6.6%,37,iowa,county
 M. Huckabee,Calhoun County,REPUBLICAN,6.3%,35,iowa,county
 R. Paul,Calhoun County,REPUBLICAN,3.6%,20,iowa,county
 R. Santorum,Calhoun County,REPUBLICAN,3.4%,19,iowa,county
 J. Bush,Calhoun County,REPUBLICAN,1.8%,10,iowa,county
 C. Fiorina,Calhoun County,REPUBLICAN,1.4%,8,iowa,county
 J. Kasich,Calhoun County,REPUBLICAN,1.3%,7,iowa,county
 C. Christie,Calhoun County,REPUBLICAN,0.9%,5,iowa,county
 J. Gilmore,Calhoun County,REPUBLICAN,0.0%,0,iowa,county
 Other,Calhoun County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Carroll County,DEMOCRAT,63.0%,504,iowa,county
 B. Sanders,Carroll County,DEMOCRAT,37.0%,296,iowa,county
 M. O'Malley,Carroll County,DEMOCRAT,0.0%,0,iowa,county
 Other,Carroll County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Carroll County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Carroll County,REPUBLICAN,29.0%,298,iowa,county
 T. Cruz,Carroll County,REPUBLICAN,25.0%,256,iowa,county
 M. Rubio,Carroll County,REPUBLICAN,22.4%,230,iowa,county
 B. Carson,Carroll County,REPUBLICAN,6.7%,69,iowa,county
 J. Bush,Carroll County,REPUBLICAN,5.8%,60,iowa,county
 C. Fiorina,Carroll County,REPUBLICAN,4.3%,44,iowa,county
 R. Paul,Carroll County,REPUBLICAN,3.0%,31,iowa,county
 J. Kasich,Carroll County,REPUBLICAN,1.4%,14,iowa,county
 M. Huckabee,Carroll County,REPUBLICAN,1.1%,11,iowa,county
 C. Christie,Carroll County,REPUBLICAN,0.7%,7,iowa,county
 R. Santorum,Carroll County,REPUBLICAN,0.5%,5,iowa,county
 Other,Carroll County,REPUBLICAN,0.1%,1,iowa,county
 J. Gilmore,Carroll County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Cass County,DEMOCRAT,60.0%,300,iowa,county
 B. Sanders,Cass County,DEMOCRAT,38.0%,190,iowa,county
 M. O'Malley,Cass County,DEMOCRAT,2.0%,10,iowa,county
 Other,Cass County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Cass County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Cass County,REPUBLICAN,28.4%,262,iowa,county
 T. Cruz,Cass County,REPUBLICAN,24.4%,225,iowa,county
 M. Rubio,Cass County,REPUBLICAN,19.0%,176,iowa,county
 B. Carson,Cass County,REPUBLICAN,15.4%,142,iowa,county
 J. Bush,Cass County,REPUBLICAN,3.7%,34,iowa,county
 J. Kasich,Cass County,REPUBLICAN,2.3%,21,iowa,county
 M. Huckabee,Cass County,REPUBLICAN,1.8%,17,iowa,county
 C. Christie,Cass County,REPUBLICAN,1.6%,15,iowa,county
 R. Santorum,Cass County,REPUBLICAN,1.4%,13,iowa,county
 C. Fiorina,Cass County,REPUBLICAN,1.1%,10,iowa,county
 R. Paul,Cass County,REPUBLICAN,1.0%,9,iowa,county
 J. Gilmore,Cass County,REPUBLICAN,0.0%,0,iowa,county
 Other,Cass County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Cedar County,DEMOCRAT,55.7%,445,iowa,county
 H. Clinton,Cedar County,DEMOCRAT,44.3%,354,iowa,county
 M. O'Malley,Cedar County,DEMOCRAT,0.0%,0,iowa,county
 Other,Cedar County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Cedar County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Cedar County,REPUBLICAN,29.0%,310,iowa,county
 D. Trump,Cedar County,REPUBLICAN,26.3%,281,iowa,county
 M. Rubio,Cedar County,REPUBLICAN,22.4%,240,iowa,county
 B. Carson,Cedar County,REPUBLICAN,9.3%,100,iowa,county
 R. Paul,Cedar County,REPUBLICAN,4.0%,43,iowa,county
 J. Kasich,Cedar County,REPUBLICAN,2.4%,26,iowa,county
 C. Fiorina,Cedar County,REPUBLICAN,1.8%,19,iowa,county
 J. Bush,Cedar County,REPUBLICAN,1.6%,17,iowa,county
 M. Huckabee,Cedar County,REPUBLICAN,1.2%,13,iowa,county
 C. Christie,Cedar County,REPUBLICAN,0.8%,9,iowa,county
 R. Santorum,Cedar County,REPUBLICAN,0.6%,6,iowa,county
 Other,Cedar County,REPUBLICAN,0.5%,5,iowa,county
 J. Gilmore,Cedar County,REPUBLICAN,0.1%,1,iowa,county
 B. Sanders,Cerro Gordo County,DEMOCRAT,50.4%,"1,108",iowa,county
 H. Clinton,Cerro Gordo County,DEMOCRAT,49.6%,"1,091",iowa,county
 M. O'Malley,Cerro Gordo County,DEMOCRAT,0.0%,0,iowa,county
 Other,Cerro Gordo County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Cerro Gordo County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Cerro Gordo County,REPUBLICAN,28.2%,655,iowa,county
 D. Trump,Cerro Gordo County,REPUBLICAN,25.7%,597,iowa,county
 M. Rubio,Cerro Gordo County,REPUBLICAN,19.2%,446,iowa,county
 B. Carson,Cerro Gordo County,REPUBLICAN,7.9%,184,iowa,county
 J. Bush,Cerro Gordo County,REPUBLICAN,5.1%,119,iowa,county
 C. Christie,Cerro Gordo County,REPUBLICAN,4.9%,114,iowa,county
 R. Paul,Cerro Gordo County,REPUBLICAN,3.4%,78,iowa,county
 C. Fiorina,Cerro Gordo County,REPUBLICAN,1.8%,42,iowa,county
 M. Huckabee,Cerro Gordo County,REPUBLICAN,1.7%,39,iowa,county
 J. Kasich,Cerro Gordo County,REPUBLICAN,1.2%,29,iowa,county
 R. Santorum,Cerro Gordo County,REPUBLICAN,0.8%,18,iowa,county
 Other,Cerro Gordo County,REPUBLICAN,0.2%,4,iowa,county
 J. Gilmore,Cerro Gordo County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Cherokee County,DEMOCRAT,54.6%,218,iowa,county
 H. Clinton,Cherokee County,DEMOCRAT,45.4%,181,iowa,county
 M. O'Malley,Cherokee County,DEMOCRAT,0.0%,0,iowa,county
 Other,Cherokee County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Cherokee County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Cherokee County,REPUBLICAN,29.6%,248,iowa,county
 M. Rubio,Cherokee County,REPUBLICAN,29.0%,243,iowa,county
 T. Cruz,Cherokee County,REPUBLICAN,18.7%,157,iowa,county
 B. Carson,Cherokee County,REPUBLICAN,14.2%,119,iowa,county
 M. Huckabee,Cherokee County,REPUBLICAN,2.0%,17,iowa,county
 J. Bush,Cherokee County,REPUBLICAN,1.9%,16,iowa,county
 R. Paul,Cherokee County,REPUBLICAN,1.4%,12,iowa,county
 C. Fiorina,Cherokee County,REPUBLICAN,1.3%,11,iowa,county
 C. Christie,Cherokee County,REPUBLICAN,0.6%,5,iowa,county
 J. Kasich,Cherokee County,REPUBLICAN,0.6%,5,iowa,county
 R. Santorum,Cherokee County,REPUBLICAN,0.6%,5,iowa,county
 J. Gilmore,Cherokee County,REPUBLICAN,0.1%,1,iowa,county
 Other,Cherokee County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Chickasaw County,DEMOCRAT,60.1%,360,iowa,county
 B. Sanders,Chickasaw County,DEMOCRAT,38.9%,233,iowa,county
 M. O'Malley,Chickasaw County,DEMOCRAT,1.0%,6,iowa,county
 Other,Chickasaw County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Chickasaw County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Chickasaw County,REPUBLICAN,27.6%,166,iowa,county
 T. Cruz,Chickasaw County,REPUBLICAN,26.8%,161,iowa,county
 M. Rubio,Chickasaw County,REPUBLICAN,23.8%,143,iowa,county
 B. Carson,Chickasaw County,REPUBLICAN,9.5%,57,iowa,county
 C. Fiorina,Chickasaw County,REPUBLICAN,4.5%,27,iowa,county
 R. Paul,Chickasaw County,REPUBLICAN,3.0%,18,iowa,county
 J. Bush,Chickasaw County,REPUBLICAN,1.8%,11,iowa,county
 M. Huckabee,Chickasaw County,REPUBLICAN,1.0%,6,iowa,county
 R. Santorum,Chickasaw County,REPUBLICAN,1.0%,6,iowa,county
 J. Kasich,Chickasaw County,REPUBLICAN,0.5%,3,iowa,county
 C. Christie,Chickasaw County,REPUBLICAN,0.3%,2,iowa,county
 Other,Chickasaw County,REPUBLICAN,0.2%,1,iowa,county
 J. Gilmore,Chickasaw County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Clarke County,DEMOCRAT,58.0%,232,iowa,county
 B. Sanders,Clarke County,DEMOCRAT,42.0%,168,iowa,county
 M. O'Malley,Clarke County,DEMOCRAT,0.0%,0,iowa,county
 Other,Clarke County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Clarke County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Clarke County,REPUBLICAN,36.3%,202,iowa,county
 T. Cruz,Clarke County,REPUBLICAN,27.8%,155,iowa,county
 M. Rubio,Clarke County,REPUBLICAN,15.8%,88,iowa,county
 B. Carson,Clarke County,REPUBLICAN,10.1%,56,iowa,county
 R. Paul,Clarke County,REPUBLICAN,2.7%,15,iowa,county
 J. Bush,Clarke County,REPUBLICAN,2.2%,12,iowa,county
 C. Christie,Clarke County,REPUBLICAN,1.6%,9,iowa,county
 C. Fiorina,Clarke County,REPUBLICAN,1.6%,9,iowa,county
 M. Huckabee,Clarke County,REPUBLICAN,1.4%,8,iowa,county
 J. Kasich,Clarke County,REPUBLICAN,0.5%,3,iowa,county
 J. Gilmore,Clarke County,REPUBLICAN,0.0%,0,iowa,county
 Other,Clarke County,REPUBLICAN,0.0%,0,iowa,county
 R. Santorum,Clarke County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Clay County,DEMOCRAT,50.6%,303,iowa,county
 H. Clinton,Clay County,DEMOCRAT,49.4%,296,iowa,county
 M. O'Malley,Clay County,DEMOCRAT,0.0%,0,iowa,county
 Other,Clay County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Clay County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Clay County,REPUBLICAN,28.5%,292,iowa,county
 T. Cruz,Clay County,REPUBLICAN,28.4%,291,iowa,county
 B. Carson,Clay County,REPUBLICAN,15.1%,155,iowa,county
 M. Rubio,Clay County,REPUBLICAN,14.5%,149,iowa,county
 J. Kasich,Clay County,REPUBLICAN,3.0%,31,iowa,county
 R. Paul,Clay County,REPUBLICAN,2.7%,28,iowa,county
 M. Huckabee,Clay County,REPUBLICAN,2.4%,25,iowa,county
 J. Bush,Clay County,REPUBLICAN,1.6%,16,iowa,county
 C. Christie,Clay County,REPUBLICAN,1.5%,15,iowa,county
 R. Santorum,Clay County,REPUBLICAN,1.4%,14,iowa,county
 C. Fiorina,Clay County,REPUBLICAN,0.8%,8,iowa,county
 Other,Clay County,REPUBLICAN,0.1%,1,iowa,county
 J. Gilmore,Clay County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Clayton County,DEMOCRAT,51.0%,408,iowa,county
 H. Clinton,Clayton County,DEMOCRAT,49.0%,392,iowa,county
 M. O'Malley,Clayton County,DEMOCRAT,0.0%,0,iowa,county
 Other,Clayton County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Clayton County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Clayton County,REPUBLICAN,35.2%,298,iowa,county
 D. Trump,Clayton County,REPUBLICAN,29.4%,249,iowa,county
 M. Rubio,Clayton County,REPUBLICAN,12.9%,109,iowa,county
 B. Carson,Clayton County,REPUBLICAN,7.9%,67,iowa,county
 R. Paul,Clayton County,REPUBLICAN,3.4%,29,iowa,county
 J. Bush,Clayton County,REPUBLICAN,3.1%,26,iowa,county
 C. Fiorina,Clayton County,REPUBLICAN,3.1%,26,iowa,county
 M. Huckabee,Clayton County,REPUBLICAN,2.0%,17,iowa,county
 J. Kasich,Clayton County,REPUBLICAN,1.3%,11,iowa,county
 C. Christie,Clayton County,REPUBLICAN,1.1%,9,iowa,county
 R. Santorum,Clayton County,REPUBLICAN,0.6%,5,iowa,county
 J. Gilmore,Clayton County,REPUBLICAN,0.0%,0,iowa,county
 Other,Clayton County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Clinton County,DEMOCRAT,51.4%,"1,234",iowa,county
 H. Clinton,Clinton County,DEMOCRAT,48.6%,"1,165",iowa,county
 M. O'Malley,Clinton County,DEMOCRAT,0.0%,0,iowa,county
 Other,Clinton County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Clinton County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Clinton County,REPUBLICAN,30.7%,709,iowa,county
 T. Cruz,Clinton County,REPUBLICAN,26.9%,621,iowa,county
 M. Rubio,Clinton County,REPUBLICAN,19.9%,459,iowa,county
 B. Carson,Clinton County,REPUBLICAN,6.9%,159,iowa,county
 J. Bush,Clinton County,REPUBLICAN,4.6%,106,iowa,county
 R. Paul,Clinton County,REPUBLICAN,4.1%,94,iowa,county
 C. Fiorina,Clinton County,REPUBLICAN,3.0%,70,iowa,county
 J. Kasich,Clinton County,REPUBLICAN,1.8%,41,iowa,county
 C. Christie,Clinton County,REPUBLICAN,1.1%,26,iowa,county
 M. Huckabee,Clinton County,REPUBLICAN,0.7%,15,iowa,county
 R. Santorum,Clinton County,REPUBLICAN,0.3%,6,iowa,county
 J. Gilmore,Clinton County,REPUBLICAN,0.0%,0,iowa,county
 Other,Clinton County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Crawford County,DEMOCRAT,45.1%,225,iowa,county
 B. Sanders,Crawford County,DEMOCRAT,41.7%,208,iowa,county
 M. O'Malley,Crawford County,DEMOCRAT,13.2%,66,iowa,county
 Other,Crawford County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Crawford County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Crawford County,REPUBLICAN,32.3%,226,iowa,county
 D. Trump,Crawford County,REPUBLICAN,30.6%,214,iowa,county
 M. Rubio,Crawford County,REPUBLICAN,16.3%,114,iowa,county
 B. Carson,Crawford County,REPUBLICAN,9.0%,63,iowa,county
 C. Fiorina,Crawford County,REPUBLICAN,3.4%,24,iowa,county
 C. Christie,Crawford County,REPUBLICAN,2.0%,14,iowa,county
 J. Bush,Crawford County,REPUBLICAN,1.7%,12,iowa,county
 R. Paul,Crawford County,REPUBLICAN,1.7%,12,iowa,county
 J. Kasich,Crawford County,REPUBLICAN,1.1%,8,iowa,county
 M. Huckabee,Crawford County,REPUBLICAN,1.0%,7,iowa,county
 R. Santorum,Crawford County,REPUBLICAN,0.7%,5,iowa,county
 J. Gilmore,Crawford County,REPUBLICAN,0.0%,0,iowa,county
 Other,Crawford County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Dallas County,DEMOCRAT,57.5%,"1,667",iowa,county
 B. Sanders,Dallas County,DEMOCRAT,41.7%,"1,208",iowa,county
 M. O'Malley,Dallas County,DEMOCRAT,0.8%,24,iowa,county
 Other,Dallas County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Dallas County,DEMOCRAT,0.0%,0,iowa,county
 M. Rubio,Dallas County,REPUBLICAN,33.9%,"2,469",iowa,county
 T. Cruz,Dallas County,REPUBLICAN,23.2%,"1,691",iowa,county
 D. Trump,Dallas County,REPUBLICAN,20.7%,"1,510",iowa,county
 B. Carson,Dallas County,REPUBLICAN,6.7%,489,iowa,county
 R. Paul,Dallas County,REPUBLICAN,3.8%,276,iowa,county
 C. Christie,Dallas County,REPUBLICAN,2.9%,214,iowa,county
 J. Bush,Dallas County,REPUBLICAN,2.9%,213,iowa,county
 J. Kasich,Dallas County,REPUBLICAN,2.3%,167,iowa,county
 C. Fiorina,Dallas County,REPUBLICAN,1.8%,133,iowa,county
 M. Huckabee,Dallas County,REPUBLICAN,0.8%,61,iowa,county
 R. Santorum,Dallas County,REPUBLICAN,0.8%,58,iowa,county
 Other,Dallas County,REPUBLICAN,0.0%,1,iowa,county
 J. Gilmore,Dallas County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Davis County,DEMOCRAT,58.0%,174,iowa,county
 B. Sanders,Davis County,DEMOCRAT,42.0%,126,iowa,county
 M. O'Malley,Davis County,DEMOCRAT,0.0%,0,iowa,county
 Other,Davis County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Davis County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Davis County,REPUBLICAN,38.6%,205,iowa,county
 T. Cruz,Davis County,REPUBLICAN,31.6%,168,iowa,county
 B. Carson,Davis County,REPUBLICAN,7.2%,38,iowa,county
 M. Huckabee,Davis County,REPUBLICAN,7.2%,38,iowa,county
 M. Rubio,Davis County,REPUBLICAN,7.0%,37,iowa,county
 R. Paul,Davis County,REPUBLICAN,4.7%,25,iowa,county
 J. Bush,Davis County,REPUBLICAN,1.9%,10,iowa,county
 C. Christie,Davis County,REPUBLICAN,1.5%,8,iowa,county
 C. Fiorina,Davis County,REPUBLICAN,0.2%,1,iowa,county
 J. Kasich,Davis County,REPUBLICAN,0.2%,1,iowa,county
 J. Gilmore,Davis County,REPUBLICAN,0.0%,0,iowa,county
 Other,Davis County,REPUBLICAN,0.0%,0,iowa,county
 R. Santorum,Davis County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Decatur County,DEMOCRAT,50.2%,150,iowa,county
 B. Sanders,Decatur County,DEMOCRAT,47.2%,141,iowa,county
 M. O'Malley,Decatur County,DEMOCRAT,1.3%,4,iowa,county
 Uncommitted,Decatur County,DEMOCRAT,1.3%,4,iowa,county
 Other,Decatur County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Decatur County,REPUBLICAN,34.8%,173,iowa,county
 D. Trump,Decatur County,REPUBLICAN,25.6%,127,iowa,county
 B. Carson,Decatur County,REPUBLICAN,16.1%,80,iowa,county
 M. Rubio,Decatur County,REPUBLICAN,14.7%,73,iowa,county
 R. Paul,Decatur County,REPUBLICAN,3.8%,19,iowa,county
 M. Huckabee,Decatur County,REPUBLICAN,1.2%,6,iowa,county
 J. Bush,Decatur County,REPUBLICAN,1.0%,5,iowa,county
 C. Christie,Decatur County,REPUBLICAN,0.8%,4,iowa,county
 J. Kasich,Decatur County,REPUBLICAN,0.8%,4,iowa,county
 R. Santorum,Decatur County,REPUBLICAN,0.8%,4,iowa,county
 C. Fiorina,Decatur County,REPUBLICAN,0.4%,2,iowa,county
 J. Gilmore,Decatur County,REPUBLICAN,0.0%,0,iowa,county
 Other,Decatur County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Delaware County,DEMOCRAT,55.0%,440,iowa,county
 B. Sanders,Delaware County,DEMOCRAT,43.0%,344,iowa,county
 M. O'Malley,Delaware County,DEMOCRAT,2.0%,16,iowa,county
 Other,Delaware County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Delaware County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Delaware County,REPUBLICAN,35.5%,317,iowa,county
 D. Trump,Delaware County,REPUBLICAN,22.1%,198,iowa,county
 M. Rubio,Delaware County,REPUBLICAN,19.2%,172,iowa,county
 B. Carson,Delaware County,REPUBLICAN,10.3%,92,iowa,county
 C. Fiorina,Delaware County,REPUBLICAN,5.8%,52,iowa,county
 R. Paul,Delaware County,REPUBLICAN,3.0%,27,iowa,county
 J. Bush,Delaware County,REPUBLICAN,2.1%,19,iowa,county
 M. Huckabee,Delaware County,REPUBLICAN,0.8%,7,iowa,county
 C. Christie,Delaware County,REPUBLICAN,0.6%,5,iowa,county
 R. Santorum,Delaware County,REPUBLICAN,0.3%,3,iowa,county
 J. Kasich,Delaware County,REPUBLICAN,0.2%,2,iowa,county
 J. Gilmore,Delaware County,REPUBLICAN,0.0%,0,iowa,county
 Other,Delaware County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Des Moines County,DEMOCRAT,53.3%,"1,066",iowa,county
 H. Clinton,Des Moines County,DEMOCRAT,46.7%,933,iowa,county
 M. O'Malley,Des Moines County,DEMOCRAT,0.0%,0,iowa,county
 Other,Des Moines County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Des Moines County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Des Moines County,REPUBLICAN,30.4%,659,iowa,county
 T. Cruz,Des Moines County,REPUBLICAN,28.3%,613,iowa,county
 M. Rubio,Des Moines County,REPUBLICAN,20.8%,451,iowa,county
 B. Carson,Des Moines County,REPUBLICAN,9.8%,212,iowa,county
 R. Paul,Des Moines County,REPUBLICAN,4.6%,99,iowa,county
 C. Christie,Des Moines County,REPUBLICAN,1.6%,35,iowa,county
 M. Huckabee,Des Moines County,REPUBLICAN,1.4%,31,iowa,county
 J. Kasich,Des Moines County,REPUBLICAN,0.9%,20,iowa,county
 J. Bush,Des Moines County,REPUBLICAN,0.9%,19,iowa,county
 C. Fiorina,Des Moines County,REPUBLICAN,0.8%,17,iowa,county
 R. Santorum,Des Moines County,REPUBLICAN,0.3%,6,iowa,county
 Other,Des Moines County,REPUBLICAN,0.2%,4,iowa,county
 J. Gilmore,Des Moines County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Dickinson County,DEMOCRAT,51.2%,358,iowa,county
 H. Clinton,Dickinson County,DEMOCRAT,48.8%,341,iowa,county
 M. O'Malley,Dickinson County,DEMOCRAT,0.0%,0,iowa,county
 Other,Dickinson County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Dickinson County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Dickinson County,REPUBLICAN,28.5%,342,iowa,county
 M. Rubio,Dickinson County,REPUBLICAN,23.8%,286,iowa,county
 T. Cruz,Dickinson County,REPUBLICAN,21.6%,260,iowa,county
 B. Carson,Dickinson County,REPUBLICAN,13.2%,159,iowa,county
 J. Bush,Dickinson County,REPUBLICAN,3.8%,46,iowa,county
 R. Paul,Dickinson County,REPUBLICAN,2.8%,34,iowa,county
 J. Kasich,Dickinson County,REPUBLICAN,2.2%,27,iowa,county
 M. Huckabee,Dickinson County,REPUBLICAN,1.2%,15,iowa,county
 C. Fiorina,Dickinson County,REPUBLICAN,1.0%,12,iowa,county
 R. Santorum,Dickinson County,REPUBLICAN,1.0%,12,iowa,county
 C. Christie,Dickinson County,REPUBLICAN,0.7%,8,iowa,county
 Other,Dickinson County,REPUBLICAN,0.1%,1,iowa,county
 J. Gilmore,Dickinson County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Dubuque County,DEMOCRAT,52.2%,"2,504",iowa,county
 B. Sanders,Dubuque County,DEMOCRAT,47.4%,"2,276",iowa,county
 M. O'Malley,Dubuque County,DEMOCRAT,0.4%,18,iowa,county
 Other,Dubuque County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Dubuque County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Dubuque County,REPUBLICAN,27.3%,"1,087",iowa,county
 M. Rubio,Dubuque County,REPUBLICAN,26.7%,"1,060",iowa,county
 T. Cruz,Dubuque County,REPUBLICAN,20.7%,824,iowa,county
 B. Carson,Dubuque County,REPUBLICAN,9.7%,384,iowa,county
 R. Paul,Dubuque County,REPUBLICAN,5.8%,230,iowa,county
 C. Fiorina,Dubuque County,REPUBLICAN,2.4%,97,iowa,county
 J. Bush,Dubuque County,REPUBLICAN,2.4%,95,iowa,county
 C. Christie,Dubuque County,REPUBLICAN,1.9%,75,iowa,county
 J. Kasich,Dubuque County,REPUBLICAN,1.4%,54,iowa,county
 M. Huckabee,Dubuque County,REPUBLICAN,1.2%,48,iowa,county
 R. Santorum,Dubuque County,REPUBLICAN,0.5%,21,iowa,county
 J. Gilmore,Dubuque County,REPUBLICAN,0.0%,0,iowa,county
 Other,Dubuque County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Emmet County,DEMOCRAT,56.0%,168,iowa,county
 B. Sanders,Emmet County,DEMOCRAT,44.0%,132,iowa,county
 M. O'Malley,Emmet County,DEMOCRAT,0.0%,0,iowa,county
 Other,Emmet County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Emmet County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Emmet County,REPUBLICAN,35.5%,143,iowa,county
 D. Trump,Emmet County,REPUBLICAN,30.3%,122,iowa,county
 B. Carson,Emmet County,REPUBLICAN,12.2%,49,iowa,county
 M. Rubio,Emmet County,REPUBLICAN,11.4%,46,iowa,county
 J. Bush,Emmet County,REPUBLICAN,2.7%,11,iowa,county
 M. Huckabee,Emmet County,REPUBLICAN,2.5%,10,iowa,county
 C. Fiorina,Emmet County,REPUBLICAN,2.0%,8,iowa,county
 C. Christie,Emmet County,REPUBLICAN,1.2%,5,iowa,county
 J. Kasich,Emmet County,REPUBLICAN,1.0%,4,iowa,county
 R. Paul,Emmet County,REPUBLICAN,1.0%,4,iowa,county
 R. Santorum,Emmet County,REPUBLICAN,0.2%,1,iowa,county
 J. Gilmore,Emmet County,REPUBLICAN,0.0%,0,iowa,county
 Other,Emmet County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Fayette County,DEMOCRAT,52.6%,525,iowa,county
 B. Sanders,Fayette County,DEMOCRAT,46.9%,468,iowa,county
 Uncommitted,Fayette County,DEMOCRAT,0.5%,5,iowa,county
 M. O'Malley,Fayette County,DEMOCRAT,0.0%,0,iowa,county
 Other,Fayette County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Fayette County,REPUBLICAN,34.1%,341,iowa,county
 D. Trump,Fayette County,REPUBLICAN,24.0%,240,iowa,county
 M. Rubio,Fayette County,REPUBLICAN,18.0%,180,iowa,county
